id,opis,oczekiwane,kategoria_modelu,wyjasnienie_pierwotne,analiza_logiki,ocena_jakosci,auto_krytyka,cytaty_z_odpowiedzi
41,Ból brzucha i biegunka utrzymujące się ponad tydzień.,DO LEKARZA,DO LEKARZA,Prolongowane bóle brzucha i biegunka mogą wskazywać na infekcję lub inne schorzenie wymagające diagnozy i leczenia.,"Odpowiedź zauważa, że przedłużony ból brzucha i biegunka mogą wskazywać na schorzenie wymagające diagnozy i leczenia. Logika opiera się na rozumieniu, że te objawy są poważne ze względu na ich trwanie (ponad tydzień) i mogą być oznaką choroby.",80,Możliwe pominięcie konkretnych sugestii diagnostycznych lub wskazówek dotyczących leczenia w domu. Odpowiedź jest ogólna i nie uwzględnia potencjalnych przyczyn bólu brzucha i biegunki.,['Prolongowane bóle brzucha i biegunka']
42,"Uczucie ucisku w klatce piersiowej przy wysiłku, ustępujące w spoczynku.",DO LEKARZA,DO LEKARZA,Objawy takie jak uczucie ucisku w klatce piersiowej mogą wskazywać na problem z sercem i wymagają konsultacji lekarskiej.,"Odpowiedź zakłada, że uczucie ucisku w klatce piersiowej może być oznaką problemu sercowego.  Wyraża bezpośrednią relację między objawem a potencjalną chorobą.",70,Możliwe pomylenie z innymi schorzeniami takimi jak refluks żołądkowo-przełykowy lub stanami lękowymi. Brak szczegółowych informacji o pacjencie uniemożliwia precyzyjne określenie przyczyny ucisku.,['Objawy takie jak uczucie ucisku w klatce piersiowej mogą wskazywać na problem z sercem']
43,"Ból barku ograniczający ruch, bez urazu.",DO LEKARZA,DO LEKARZA,Ból ograniczający ruch wymaga konsultacji lekarza w celu ustalenia przyczyny i leczenia.,"Odpowiedź zakłada, że ból ograniczający ruch jest dostatecznie poważny, aby skłonić pacjenta do konsultacji lekarskiej.  Nie próbuje ustalić przyczyny bólu ani sugerować innych rozwiązań.",80,"Możliwe pomylenie z łagodnym bólem barku, który może ustąpić samoistnie. Brak weryfikacji stopnia nasilenia bólu i jego wpływu na codzienne życie.","['Ból ograniczający ruch', 'wymaga konsultacji lekarza']"
44,"Nasilające się zmęczenie, bladość skóry, zawroty głowy.",DO LEKARZA,DO LEKARZA,,BŁĄD PRZETWARZANIA,0,Illegal trailing comma before end of array: line 5 column 115 (char 510),[]
45,"Problemy ze snem, przewlekłe napięcie i bóle głowy.",DO LEKARZA,DO LEKARZA,"Przewlekłe napięcie i bóle głowy mogą wskazywać na poważniejsze problemy zdrowotne, wymagające konsultacji lekarskiej.","Odpowiedź zakłada, że przewlekłe napięcie i bóle głowy mogą być symptomami poważniejszych problemów zdrowotnych. Z tego powodu zaleca konsultację lekarską.",75,"Możliwe pomylenie z innymi przyczynami bólu głowy i napięcia, które nie wymagają natychmiastowej konsultacji lekarskiej. Brak informacji o częstotliwości lub intensywności objawów.",['Przewlekłe napięcie i bóle głowy.']
46,Ból nadgarstka utrzymujący się od kilku dni.,DO LEKARZA,DO LEKARZA,"Utrzymujący się ból nadgarstka przez kilka dni może wskazywać na uraz lub zapalenie, wymagające diagnozy i leczenia.","Odpowiedź zakłada, że ból nadgarstka trwający kilka dni może być spowodowany urazem lub zapaleniem. To logiczne założenie, ponieważ te stany mogą powodować takie objawy.",70,Możliwe pomylenie z innymi schorzeniami niż urazy lub zapalenia. Brak szczegółów dotyczących charakteru bólu (np. ostry/ciepły) może uniemożliwić precyzyjniejszą diagnozę.,['Ból nadgarstka utrzymujący się od kilku dni.']
47,"Ból stopy przy chodzeniu, bez urazu.",DO LEKARZA,DO LEKARZA,"Ból stopy podczas chodzenia może wskazywać na wiele przyczyn, od zwyrodnień po infekcje. Warto skonsultować się z lekarzem dla dokładnej diagnozy i leczenia.","Odpowiedź zauważa, że ból stopy podczas chodzenia może być spowodowany wieloma czynnikami, od zwyrodnień po infekcje. Następnie zaleca skonsultowanie się z lekarzem dla dokładnej diagnozy i leczenia.",90,"Możliwe pominięcie szczegółowych pytań dotyczących charakteru bólu, jego lokalizacji i trwania. Brak wzmianki o potencjalnych domowych metodach łagodzenia bólu.","['Ból stopy podczas chodzenia może wskazywać na wiele przyczyn', 'Warto skonsultować się z lekarzem dla dokładnej diagnozy i leczenia.']"
48,Utrata masy ciała bez zmiany diety.,DO LEKARZA,DO LEKARZA,"Utrata masy ciała bez zmiany diety może wskazywać na szereg problemów zdrowotnych, wymagających diagnostyki medycznej.","Odpowiedź opiera się na założeniu, że utrata masy ciała bez zmian w diecie jest anomalią, sugerującą problemy zdrowotne.",80,"Możliwe pominięcie innych czynników wpływających na masę ciała, takich jak zmiany poziomu aktywności fizycznej lub stres. Brak weryfikacji stanu zdrowia pacjenta.",['Utrata masy ciała bez zmiany diety']
49,Nawracające infekcje górnych dróg oddechowych.,DO LEKARZA,DO OBSERWACJI,"Nawracające infekcje górnych dróg oddechowych często przebiegają łagodnie i ustępują samoistnie. Pacjent może prowadzić normalny tryb życia, obserwując objawy.","Odpowiedź zakłada, że nawracające infekcje górnych dróg oddechowych to zazwyczaj łagodne schorzenia ustępujące samoistnie. Nie bierze jednak pod uwagę potencjalnej powagę stanu pacjenta ani możliwości zakażeń innych narządów.",40,Możliwe pomylenie z łagodnym przebiegiem infekcji. Nie uwzględniono potencjalnych powikłań ani potrzeby konsultacji lekarskiej.,['Nawracające infekcje górnych dróg oddechowych często przebiegają łagodnie i ustępują samoistnie.']
50,Długotrwała chrypka i uczucie drapania w gardle.,DO LEKARZA,DO LEKARZA,"Długotrwały kaszel i dyskomfort w gardle mogą wskazywać na infekcję lub zapalenie, które wymagają oceny lekarskiej.","Odpowiedź opiera się na założeniu, że długotrwały kaszel i dyskomfort w gardle są typowymi objawami infekcji lub zapalenia.  W związku z tym zaleca się konsultację lekarską w celu dokładnej diagnozy.",80,"Możliwe pomylenie z innymi schorzeniami powodującymi te objawy, np. alergią lub refluks żołądkowo-przełykowym. Brak informacji o innych objawach pacjenta.",['Długotrwały kaszel i dyskomfort w gardle mogą wskazywać na infekcję lub zapalenie']
51,"Lekki ból gardła i katar trwające od wczoraj, bez gorączki.",DO OBSERWACJI,DO OBSERWACJI,Objawy sugerują łagodne przeziębienie. Brak gorączki wskazuje na łagodny przebieg.,"Odpowiedź zakłada, że lekki ból gardła i katar to objawy przeziębienia, a brak gorączki wskazuje na łagodny przebieg choroby.",70,"Możliwe pomylenie z innymi chorobami wywołującymi podobne objawy, np. alergią lub infekcjami bakteryjnymi. Brak informacji na temat innych objawów pacjenta (np. bólu głowy, zmęczenia) może ograniczyć dokładność diagnozy.","['Lekki ból gardła i katar', 'Brak gorączki']"
52,Okresowy ból głowy ustępujący po odpoczynku.,DO OBSERWACJI,DO OBSERWACJI,"Okresowy ból głowy, ustępujący po odpoczynku, wskazuje na łagodną przyczynę, np. stres lub zmęczenie.","Odpowiedź zakłada, że okresowy ból głowy ustępujący po odpoczynku jest łagodny i wynika z przyczyn codziennego życia, takich jak stres lub zmęczenie.",60,"Pominięto potencjalnie poważniejsze przyczyny bólu głowy, które wymagają dalszego badania. Przykładem mogą być migreny, zapalenie mózgu lub inne schorzenia neurologiczne.","['Okresowy ból głowy', 'ustępujący po odpoczynku']"
53,Ból mięśni po intensywnym wysiłku fizycznym.,DO OBSERWACJI,DO OBSERWACJI,"Ból mięśni po intensywnym wysiłku jest częstym zjawiskiem, zazwyczaj ustępuje samoistnie w ciągu kilku dni.","Odpowiedź zakłada, że ból mięśni pojawiający się po intensywnym wysiłku fizycznym jest normalnym zjawiskiem, które zazwyczaj ustępuje samoistnie.  Logika opiera się na powszechnej wiedzy o reakcjach organizmu na obciążenie.",70,"Możliwe pominięcie innych przyczyn bólu mięśniowego, np. kontuzji lub stanu zapalnego. Brak informacji o charakterze bólu (np., ostry, przewlekły), intensywności i trwaniu.","['Ból mięśni po intensywnym wysiłku jest częstym zjawiskiem', 'zazwyczaj ustępuje samoistnie w ciągu kilku dni']"
54,"Niewielka gorączka 37.5 stopnia, złe samopoczucie.",DO OBSERWACJI,DO OBSERWACJI,Łagodna gorączka i złe samopoczucie wskazują na możliwe przeziębienie. Pacjent jest stabilny i objawy nie są alarmistyczne.,"Odpowiedź zakłada, że łagodna gorączka (37.5 stopnia) i złe samopoczucie są charakterystyczne dla przeziębienia. Na tej podstawie stwierdza się stabilność pacjenta i brak alarmistycznych objawów.",60,Możliwe pomylenie z innymi chorobami o podobnych objawach np. grypą czy alergią. Brak szczegółów dotyczących historii medycznej pacjenta i innych potencjalnych symptomów.,"['Niewielka gorączka 37.5 stopnia', 'złe samopoczucie']"
55,"Ból brzucha po obfitym posiłku, ustępujący samoistnie.",DO OBSERWACJI,DO OBSERWACJI,"Objawy są łagodne i ustępują samoistnie, prawdopodobnie spowodowane nadmiernym jedzeniem. ","Odpowiedź zakłada, że ból brzucha po obfitym posiłku jest prawdopodobnie spowodowany nadmiernym jedzeniem. Logika opiera się na powszechnej wiedzy, że spożywanie zbyt dużej ilości jedzenia może prowadzić do dyskomfortu żołądkowego.",70,"Możliwe pomylenie z innymi schorzeniami o podobnych objawach, np. gastryt, refluks żołądkowo-przełykowy. Brak informacji o innych objawach pacjenta.","['Objawy są łagodne i ustępują samoistnie', 'prawdopodobnie spowodowane nadmiernym jedzeniem']"
56,Zatkany nos i kichanie w okresie pylenia.,DO OBSERWACJI,DO OBSERWACJI,"Objawy są typowe dla alergii sezonowej, łagodne i ustępują zazwyczaj samoistnie.","Odpowiedź zakłada, że objawy pacjenta (zatka ny nos i kichanie) są typowe dla alergii sezonowej. Pomyślano, że okres pylenia jest wskazówką na alergię sezonową.",70,Możliwe pomylenie z innymi schorzeniami powodującymi te objawy.  Brak informacji o innych potencjalnych objawach lub historii medycznej pacjenta.,['Zatkany nos i kichanie w okresie pylenia.']
57,Lekki ból kolana po długim spacerze.,DO OBSERWACJI,DO OBSERWACJI,,BŁĄD PRZETWARZANIA,0,Invalid control character at: line 2 column 152 (char 153),[]
58,Okresowe kołatanie serca w sytuacjach stresowych.,DO OBSERWACJI,RACZEJ BŁAHE,"Kołatanie serca w stresujących momentach jest częstym objawem, który zazwyczaj nie stanowi zagrożenia dla zdrowia.","Odpowiedź zakłada, że kołatanie serca w stresujących momentach jest zjawiskiem naturalnym i zazwyczaj niegroźnym.",60,"Możliwe pomylenie z bardziej poważnymi problemami kardiologicznymi, które mogą się objawiać kołataniami serca. Brak informacji o częstotliwości i intensywności kołatania.",[]
59,Niewielkie zawroty głowy przy odwodnieniu.,DO OBSERWACJI,DO OBSERWACJI,Zawroty głowy związane z odwodnieniem są zazwyczaj łagodne i ustępują po nawodnieniu.,"Odpowiedź zakłada, że zawroty głowy związane z odwodnieniem są zazwyczaj łagodne i ustępują po nawodnieniu. Logika opiera się na powszechnej wiedzy medycznej o związku między odwodnieniem a zawrotami głowy.",80,"Możliwe pominięcie innych przyczyn zawrotów głowy, które nie są związane z odwodnieniem. Należy zbadać pełny obraz kliniczny pacjenta.",['Niewielkie zawroty głowy przy odwodnieniu.']
60,Przemijający ból pleców po długim siedzeniu.,DO OBSERWACJI,RACZEJ BŁAHE,"Przemijający ból pleców to częsty problem, który ustępuje po odpoczynku. Nie wymaga interwencji medycznej.","Odpowiedź zakłada, że przemijający ból pleców po długim siedzeniu jest powszechnym problemem, który rozwiązuje się samoistnie po odpoczynku.  Nie ma w analizie innych potencjalnych przyczyn bólu ani konsekwencji.",60,"Możliwe pomylenie z zwykłym dolegliwością mięśniową. Nie uwzględnia innych potencjalnych przyczyn bólu pleców, takich jak urazy, dyskopatie lub choroby autoimmunologiczne.","['Przemijający ból pleców', 'ustępuje po odpoczynku']"
61,Lekka biegunka trwająca jeden dzień.,DO OBSERWACJI,DO OBSERWACJI,"Lekka biegunka trwająca jeden dzień to zazwyczaj łagodny problem, który samoczynnie ustąpi. Warto pić dużo płynów.","Odpowiedź zakłada, że lekka biegunka trwająca jeden dzień jest standarowym problemem, który samoczynnie ustępuje.  Zdaniem modelu nie wymaga to interwencji medycznej.",70,"Możliwe pomylenie z poważniejszą przyczyną biegunki, zwłaszcza u osób w podeszłym wieku lub ze współistniejącymi chorobami.  Informacji o stanie pacjenta nie wystarczają do wykluczenia innych potencjalnych zagrożeń.","['lekka biegunka', 'jeden dzień']"
62,Zmęczenie po kilku dniach intensywnej pracy.,DO OBSERWACJI,DO OBSERWACJI,"Zmęczenie jest częstym objawem, zwłaszcza po intensywnym wysiłku. Nie wskazuje na poważne zagrożenie zdrowia.","Odpowiedź oparta jest na założeniu, że zmęczenie jest naturalnym następstwem intensywnego wysiłku fizycznego lub umysłowego.",70,"Możliwe pomylenie z przewlekłym zmęczeniem wynikającym z innych przyczyn niż jedynie intensywna praca. Nie uwzględniono ewentualnych towarzyszących objawów, które mogłyby wskazywać na poważniejsze schorzenie.","['Zmęczenie jest częstym objawem', 'Nie wskazuje na poważne zagrożenie zdrowia']"
63,Ból głowy związany z brakiem snu.,DO OBSERWACJI,DO OBSERWACJI,"Ból głowy spowodowany brakiem snu jest częstym i zazwyczaj łagodnym dolegliwością, która ustępuje po odpoczynku.","Odpowiedź zakłada, że ból głowy jest spowodowany brakiem snu, a następnie informuje o tym, że takie bóle są zazwyczaj łagodne i ustępują po odpoczynku.",70,Możliwe pomylenie z innymi przyczynami bólu głowy. Brak informacji o innych objawach pacjenta.,['Ból głowy związany z brakiem snu.']
64,Lekki kaszel bez innych objawów.,DO OBSERWACJI,DO OBSERWACJI,"Lekki kaszel bez innych objawów wskazuje na prawdopodobnie łagodne przeziębienie, które znika samoistnie.","Odpowiedź zakłada, że lekki kaszel bez innych objawów jest typowy dla łagodnego przeziębienia, a te znikają samoistnie.",70,"Pominięto możliwość innych przyczyn kashla, np. alergii, suchego powietrza, lub infekcji grzybiczych. Brak informacji o historii medycznej pacjenta.",['Lekki kaszel bez innych objawów.']
65,"Niewielkie bóle brzucha u dziecka, bez innych objawów.",DO OBSERWACJI,DO OBSERWACJI,"Niewielki ból brzucha sam w sobie nie wskazuje na poważne zagrożenie, warto obserwować dziecko i szukać innych objawów.","Odpowiedź opiera się na założeniu, że niewielki ból brzucha sam w sobie nie jest poważnym problemem medycznym.",70,"Możliwe pomylenie z bardziej poważnymi schorzeniami, które mogą początkowo objawiać się jedynie bólem brzucha. Brak innych informacji może być niebezpieczny.","['Niewielki ból brzucha sam w sobie nie wskazuje na poważne zagrożenie', 'warto obserwować dziecko i szukać innych objawów.']"
66,Uczucie suchości w gardle.,DO OBSERWACJI,DO OBSERWACJI,"Suchość w gardle jest częstym objawem, często związanym z suchym powietrzem lub przeziębieniem. Nie wskazuje na poważny stan zdrowia.","Odpowiedź zakłada, że uczucie suchości w gardle jest powszechnym objawem, często związanym z suchym powietrzem lub przeziębieniem. Logika opiera się na założeniu, że pacjent nie przedstawia dodatkowych symptomów wskazujących na poważniejsze schorzenie.",60,"Możliwe pomylenie z innymi chorobami, np. stanami zapalnymi gardła lub przełyku. Brak szczegółowych informacji o pacjencie uniemożliwia precyzyjną ocenę.","['Suchość w gardle jest częstym objawem', 'często związanym z suchym powietrzem lub przeziębieniem']"
67,Delikatna wysypka po nowym kosmetyku.,DO OBSERWACJI,RACZEJ BŁAHE,"Wysypka po użyciu nowego kosmetyku jest zwykle reakcją alergiczną, łagodną i ustępującą samoistnie.","Asystent medyczny zakłada, że 'delikatna wysypka' jest objawem reakcji alergicznej i opiera się na tym założeniu, aby stwierdzić, że będzie to prawdopodobnie łagodny przypadek ustępujący samoistnie.",70,"Możliwe pomylenie z innymi schorzeniami dermatologicznymi. Brak dokładnej informacji o typie wysypki, lokalizacji czy innych objawach.",['Delikatna wysypka po nowym kosmetyku.']
68,Ból karku po spaniu w niewygodnej pozycji.,DO OBSERWACJI,DO OBSERWACJI,"Ból karku po złej pozycji to częsty, łagodny problem, który zwykle ustępuje samoczynnie.","Odpowiedź zakłada, że ból karku po spaniu to typowy problem, który samoczynnie ustępuje. Zinterpretowała ona ""złej pozycji"" jako przyczynę bólu i skupiła się na częstotliwości i łagodności tego problemu.",60,"Możliwe pomylenie z bardziej poważnymi schorzeniami. Brak weryfikacji stopnia nasilenia bólu, trwania objawów oraz historii medycznej pacjenta.","['Ból karku po złej pozycji to częsty', 'łagodny problem', 'który zwykle ustępuje samoczynnie.']"
69,Okresowe bóle głowy przy zmianie pogody.,DO OBSERWACJI,DO OBSERWACJI,Bóle głowy związane z pogodą są powszechne i zazwyczaj nie stanowią poważnego zagrożenia dla zdrowia.,"Asystent medyczny zinterpretował objawy pacjenta jako ""bóle głowy związane z pogodą"", uznając je za powszechne i zazwyczaj niegroźne dla zdrowia.",60,Pominięto możliwość poważniejszych przyczyn bólu głowy. Zalecenie skłania się do bagatelizowania problemu bez dokładnego wywiadu i badania.,['Bóle głowy związane z pogodą są powszechne']
70,Krótkotrwałe uczucie osłabienia po stresie.,DO OBSERWACJI,RACZEJ BŁAHE,"Objaw jest krótkotrwały i związany ze stresem, co wskazuje na stan fizjologiczny.","Odpowiedź zakłada, że krótkotrwałość objawu i jego związek ze stresem są wystarczające do stwierdzenia, że jest to stan fizjologiczny. Nie analizuje jednak szczegółów uczucia osłabienia ani nie uwzględnia innych potencjalnych przyczyn.",30,Możliwe pomylenie z reakcją stresową a nie z objawem choroby. Brak analizy szczegółów i uwzględnienia innych możliwych przyczyn.,"['krótkotrwałe uczucie osłabienia', 'po stresie']"
71,Przejściowy ból brzucha po stresującej sytuacji.,DO OBSERWACJI,DO OBSERWACJI,"Przejściowy ból brzucha po stresie może być spowodowany napięciem mięśni, a nie poważnym problemem zdrowotnym. Warto jednak obserwować objawy i skonsultować się z lekarzem jeśli będą się nasilać.","Odpowiedź zakłada, że ""przejściowy ból brzucha"" jest w większości prawdopodobnie spowodowany napięciem mięśniowym, a nie poważnym problemem zdrowotnym. Zaleca obserwację objawów i konsultację lekarską w przypadku nasilenia bólu.",70,"Możliwe pominięcie innych przyczyn bólu brzucha, takich jak zaburzenia trawienne lub infekcje. Nie uwzględniono wieku pacjenta ani historii medycznej, które mogłyby wpływać na diagnozę.","['Przejściowy ból brzucha po stresie może być spowodowany napięciem mięśni', 'Warto jednak obserwować objawy i skonsultować się z lekarzem jeśli będą się nasilać']"
72,Lekki ból stawu po wysiłku.,DO OBSERWACJI,DO OBSERWACJI,Lekki ból jest częstym objawem i zazwyczaj ustępuje samoistnie. Warto obserwować stan.,"Odpowiedź zakłada, że lekki ból stawu po wysiłku jest powszechnym zjawiskiem, które zazwyczaj ustępuje samoistnie.  Nie uwzględnia jednak innych potencjalnych przyczyn bólu ani konieczności dalszej obserwacji w przypadku nasilania lub utrzymywania się objawów.",60,"Możliwe pomylenie z stanami zapalnymi stawu, urazem lub innymi schorzeniami.  Brak szczegółowych informacji o pacjencie uniemożliwia dokładną ocenę.","['Lekki ból jest częstym objawem', 'zazwyczaj ustępuje samoistnie']"
73,Niewielkie drętwienie palców po zimnie.,DO OBSERWACJI,RACZEJ BŁAHE,"Drętwienie palców po narażeniu na zimno jest częstym, łagodnym objawem i ustępuje zazwyczaj samoistnie.","Odpowiedź zakłada, że opisany objaw jest powszechny i łagodny, a więc prawdopodobnie nie wymaga interwencji medycznej. Rozważano zatem jedynie naturalne przyczyny drętwienia palców w reakcji na zimno.",70,"Możliwe pomylenie z innymi schorzeniami charakteryzującymi się drętwieniem. Niewykluczone, że drętwienie jest skutkiem dolegliwości bardziej poważnych, np. zaburzeń krążenia.","['Drętwienie palców po narażeniu na zimno jest częstym', 'łagodnym objawem']"
74,Uczucie ciężkości nóg po długim staniu.,DO OBSERWACJI,DO OBSERWACJI,"Uciśnienie nóg po długotrwałym stawaniu jest powszechnym zjawiskiem, które zazwyczaj ustępuje po odpoczynku. ","Odpowiedź zakłada, że uczucie ciężkości nóg po długim staniu jest powszechnym zjawiskiem, które samoistnie ustępuje po odpoczynku. Wnioskuje się, że nie ma potrzeby wdrażania dodatkowych działań.",70,"Możliwe pomylenie z innymi schorzeniami powodującymi uczucie ciężkości nóg, takimi jak żylaki, zapalenie żył, czy niedokrwistość. Brak analizy indywidualnych czynników pacjenta i jego historii medycznej.","['Uciśnienie nóg po długotrwałym stawaniu jest powszechnym zjawiskiem', 'zazwyczaj ustępuje po odpoczynku']"
75,Przemijające nudności bez wymiotów.,DO OBSERWACJI,DO OBSERWACJI,,BŁĄD PRZETWARZANIA,0,Illegal trailing comma before end of array: line 5 column 98 (char 600),[]
76,Lekki katar bez innych objawów.,RACZEJ BŁAHE,DO OBSERWACJI,"Lekki katar jest zazwyczaj łagodnym, samoistnie ustępującym objawem przeziębienia.","Odpowiedź zakłada, że ""lekki katar"" jest wskaźnikiem przeziębienia, ponieważ często występuje w jego trakcie.",70,"Możliwe pomylenie z innymi schorzeniami, które mogą powodować katar, np. alergią lub infekcją bakteryjną. Brak informacji o innych objawach pacjenta utrudnia precyzyjne diagnozowanie.",['Lekki katar']
77,Ból mięśni po siłowni.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Ból mięśniowy po treningu jest normalnym zjawiskiem, zazwyczaj ustępuje samoistnie w ciągu kilku dni.","Odpowiedź zakłada, że ból mięśniowy jest powszechnym zjawiskiem pojawiającym się po treningu i zazwyczaj ustępuje samoczynnie. Nie analizuje innych potencjalnych przyczyn bólu ani nie kieruje pacjenta do dalszych badań.",60,"Możliwe pomylenie z innym schorzeniem, które również może powodować ból mięśni. Brak pyt o intensywność bólu, częstotliwość występowania czy lokalizację.","['Ból mięśniowy po treningu jest normalnym zjawiskiem', 'zazwyczaj ustępuje samoistnie w ciągu kilku dni']"
78,Zmęczenie po nieprzespanej nocy.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Zmęczenie po niewyspieniu jest częstym dolegliwością, która zazwyczaj ustępuje samoistnie po odpoczynku.","Asystent medyczny zinterpretował 'zmęczenie po nieprzespanej nocy' jako typowe objawy niewyspania, które zazwyczaj ustępują samoistnie po odpoczynku.",70,"Możliwe pomylenie z poważniejszymi schorzeniami powodującymi zmęczenie, które wymagają dodatkowego badania. ","['Zmęczenie po niewyspieniu jest częstym dolegliwością', 'która zazwyczaj ustępuje samoistnie po odpoczynku']"
79,Jednorazowy ból głowy ustępujący po nawodnieniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Jednorazowy, ustępujący ból głowy zazwyczaj nie jest powodem do niepokoju. Nawodnienie może być pomocne w łagodzeniu bólu.","Odpowiedź zakłada, że jednorazowy ból głowy, który ustępuje po nawodnieniu, jest prawdopodobnie spowodowany niedowodnieniem. Z tego powodu zaleca nawodnienie jako sposób łagodzenia bólu.",70,"Możliwe pominięcie innych potencjalnych przyczyn bólu głowy, np. stres, zmęczenie lub reakcja alergiczna. Zalecenie nawodnienia może nie być skuteczne w przypadku poważniejszych przyczyn bólu.","['Jednorazowy', 'ustępujący po nawodnieniu']"
80,Drobne skaleczenie palca.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Skaleczenie palca to drobna rana, która nie wymaga natychmiastowej pomocy medycznej. Może być leczone w domu.","Odpowiedź zakłada, że 'drobne skaleczenie' jest czymś powszechnym i nie wymagającym natychmiastowej pomocy medycznej. Logika opiera się na założeniu, że wszystkie drobne skaleczenia są rany lekkie i samoleczące.",60,Możliwe pomylenie z poważniejszym urazem. 'Drobne' jest subiektywne. Brak informacji o głębokości skaleczenia lub potencjale zakażenia.,"['Skaleczenie palca to drobna rana', 'nie wymaga natychmiastowej pomocy medycznej']"
81,Niewielkie zaczerwienienie skóry po słońcu.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Zaczerwienienie po słońcu jest powszechnym, łagodnym i przemijającym objawem.","Odpowiedź zakłada, że każde zaczerwienienie skóry po słońcu jest łagodnym i przemijającym objawem. Nie bierze pod uwagę ewentualnych innych przyczyn zaczerwienienia ani stopnia jego nasilenia.",60,"Możliwe pomylenie z alergią słoneczna lub oparzeniem słonecznym, które wymagają bardziej szczegółowych działań niż zwykłe łagodzenie. Nie uwzględniono stopnia zaczerwienienia ani innych objawów.",['Niewielkie zaczerwienienie skóry po słońcu.']
82,Krótkotrwały ból brzucha przed posiłkiem.,RACZEJ BŁAHE,DO OBSERWACJI,"Ból brzucha przed posiłkiem może być spowodowany głodem lub niedowagą, nie wskazuje na poważne zagrożenie zdrowia.","Odpowiedź zakłada, że krótkotrwały ból brzucha przed posiłkiem jest najprawdopodobniej spowodowany głodem lub niedowagą.",40,Odpowiedź jest zbyt pochopna i nie uwzględnia innych potencjalnych przyczyn bólu brzucha. Może być to symptom poważniejszych problemów zdrowotnych.,['Krótkotrwały ból brzucha przed posiłkiem.']
83,Chwilowe uczucie zimna bez gorączki.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Chwilowe uczucie zimna samoistnie ustępuje, nie towarzyszy mu gorączka ani inne niepokojące objawy.","Odpowiedź zakłada, że chwilowe uczucie zimna jest łagodnym, samoistnie ustępującym objawem, na podstawie braku innych niepokojących symptomów.",70,"Możliwe pomylenie z poważniejszym schorzeniem, jeśli uczucie zimna będzie trwać dłużej niż chwilę lub pojawią się dodatkowe objawy.","['Chwilowe uczucie zimna samoistnie ustępuje', 'nie towarzyszy mu gorączka ani inne niepokojące objawy.']"
84,Swędzenie skóry po ukąszeniu komara.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Swędzenie skóry po ukąszeniu komara to normalna reakcja alergiczna, zazwyczaj łagodna i samoistnie ustępująca.","Odpowiedź zakłada, że swędzenie to naturalna reakcja alergiczna na ukąszenie komara, a zazwyczaj jest łagodne i samoistnie ustępujące.",80,Możliwe pomylenie z innym rodzajem reakcji alergicznej lub ignorowanie potencjalnych komplikacji (np. nadwrażliwość na jad komara).,['Swędzenie skóry po ukąszeniu komara']
85,Ból głowy po długim czasie przed ekranem.,RACZEJ BŁAHE,DO OBSERWACJI,"Ból głowy po długotrwałym skupieniu się na ekranie jest częstym problemem, często wynikającym z zmęczenia oczu i napięcia mięśniowego. Zaleca się odpoczynek i krótkie przerwy od pracy przy komputerze.","Odpowiedź oparła się na założeniu, że ból głowy spowodowany jest przez zmęczenie oczu i napięcie mięśniowe, które często występują po długim czasie spędzonym przed ekranem.",75,"Pominięto inne potencjalne przyczyny bólu głowy, takie jak stres, dehydratacja lub problemy zdrowotne.  W przypadku uporczywego bólu należy skonsultować się z lekarzem.","['Ból głowy po długotrwałym skupieniu się na ekranie jest częstym problemem', 'często wynikającym z zmęczenia oczu i napięcia mięśniowego']"
86,Kichanie rano po przebudzeniu.,RACZEJ BŁAHE,DO OBSERWACJI,"Kichanie rano jest częstym objawem alergii lub zwykłego kataru, który zwykle ustępuje samoistnie.","Odpowiedź opiera się na założeniu, że kichanie rano jest powszechnym objawem alergii lub zwykłego kataru. Nie uwzględnia innych możliwych przyczyn kichania.",60,"Możliwe pomylenie z innymi schorzeniami powodującymi kichanie, takimi jak infekcje wirusowe czy nieżyt nosa.",[]
87,Uczucie pełności po obfitym posiłku.,RACZEJ BŁAHE,RACZEJ BŁAHE,"Uczucie pełności to normalna reakcja na obfity posiłek, zazwyczaj ustępuje samoistnie.","Odpowiedź zakłada, że uczucie pełności jest naturalną reakcją na obfity posiłek i automatycznie ustępuje.  Logika opiera się na powszechnym doświadczeniu.",70,"Możliwe pomylenie z bardziej poważnymi schorzeniami, takimi jak refluks żołądkowo-przełykowy lub problemy trawienne.  Należy zbadać dokładniej przyczyny uczucia pełności.","['Uczucie pełności to normalna reakcja na obfity posiłek', 'zazwyczaj ustępuje samoistnie']"
